# Example Booru tag aliases (CSV format)
# Rename to remove 'EXAMPLE-' prefix to activate
# Format: original,alias1,alias2,alias3,...

femdom,female domination,female dominance,fem dom
maledom,male domination,male dominance,male dom
futanari,futa,dickgirl,futanarization,shemale
nakadashi,creampie,internal cumshot,cum inside
netorare,ntr,cuckolding,cuckold,cheating
paizuri,titfuck,tit fuck,breast sex,boobjob
footjob,foot job,foot sex,feet
blowjob,fellatio,oral,bj,blow job
cunnilingus,pussy licking,oral sex,eating out
bondage,restraints,tied up,bound,shibari,rope
tentacles,tentacle,monster tentacles
pregnant,pregnancy,impregnation,knocked up
lactation,milk,breastmilk,breast milk,milking
catgirl,cat girl,nekomimi,neko
bunny girl,bunnygirl,rabbit girl,bunny ears
glasses,megane,spectacles,eyeglasses
stockings,thighhighs,thigh highs,thigh-highs
pantyhose,tights,nylons,hosiery

